?mondo_term	?label	?definition	?obsoletion_candidate	?obsolete
<http://purl.obolibrary.org/obo/MONDO_7770268>	"progressive retinal, central, and peripheral neurodegeneration, PCYT2-related, dog"	"Any neurodenenrative disorder, occurring in dog, in which the cause of the disease is a variation in the PCYT2 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770269>	"thoracoabdominal syndrome, dog"		""	
<http://purl.obolibrary.org/obo/MONDO_7770270>	"pulmonary valve dysplasia, dog"	"Pulmonary valve dysplasia that occurs in dog."	""	
<http://purl.obolibrary.org/obo/MONDO_7770271>	"congenital amastia, horse"	"Congenital amastia that occurs in horse."	""	
<http://purl.obolibrary.org/obo/MONDO_7770272>	"chromosomal abnormality, domestic cat"		""	
<http://purl.obolibrary.org/obo/MONDO_7770273>	"chromosomal abnormality, dog"		""	
<http://purl.obolibrary.org/obo/MONDO_7770274>	"cataract, green monkey"	"Cataract that occurs in green monkey."	""	
<http://purl.obolibrary.org/obo/MONDO_7770275>	"cataract, rabbit"	"Cataract that occurs in rabbit."	""	
<http://purl.obolibrary.org/obo/MONDO_7770276>	"hypomyelinating polyneuropathy, MPZ-related, dog"	"Any nervous system disorder, occurring in dog, in which the cause of the disease is a variation in the MPZ gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770277>	"hypomyelinating polyneuropathy, SH3TC2-related, dog"	"Any nervous system disorder, occurring in dog, in which the cause of the disease is a variation in the SH3TC2 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770280>	"aortic valve hypoplasia, cattle"		""	
<http://purl.obolibrary.org/obo/MONDO_7770281>	"XX difference of sexual development, Japanese flounder"	"XX difference of sexual development that occurs in Japanese flounder."	""	
<http://purl.obolibrary.org/obo/MONDO_7770283>	"obesity, macaque"	"Obesity that occurs in macaque."	""	
<http://purl.obolibrary.org/obo/MONDO_7770284>	"fatty metamorphosis of viscera, chicken"		""	
<http://purl.obolibrary.org/obo/MONDO_7770285>	"Parkinson disease, rhesus macaque"	"Parkinson disease that occurs in rhesus macaque."	""	
<http://purl.obolibrary.org/obo/MONDO_7770286>	"Parkinson disease, pig"	"Parkinson disease that occurs in pig."	""	
<http://purl.obolibrary.org/obo/MONDO_7770287>	"autosomal dominant progressive retinal atrophy, macaque"	"Autosomal dominant progressive retinal atrophy that occurs in macaque."	""	
<http://purl.obolibrary.org/obo/MONDO_7770288>	"long QT syndrome, KCNQ1-related, dog"	"Any cardiovascular disorder, occurring in dog, in which the cause of the disease is a variation in the KCNQ1 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770289>	"oculocutaneous albinism, TYR-related, rhesus macaque"	"Any oculocutaneous albinism, occurring in rhesus macaque, in which the cause of the disease is a variation in the TYR gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770290>	"oculocutaneous albinism, OCA2-related, rhesus macaque"	"Any oculocutaneous albinism, occurring in rhesus macaque, in which the cause of the disease is a variation in the OCA2 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770292>	"cystic ovary, medaka"		""	
<http://purl.obolibrary.org/obo/MONDO_7770293>	"external auditory canal atresia, domestic cat"		""	
<http://purl.obolibrary.org/obo/MONDO_7770294>	"external auditory canal atresia, dog"		""	
<http://purl.obolibrary.org/obo/MONDO_7770295>	"cardiac defects, medaka"		""	
<http://purl.obolibrary.org/obo/MONDO_7770296>	"transmission ratio distortion, zebu cattle"		""	
<http://purl.obolibrary.org/obo/MONDO_7770297>	"transmission ratio distortion, horse"		""	
<http://purl.obolibrary.org/obo/MONDO_7770298>	"transmission ratio distortion, cattle"		""	
<http://purl.obolibrary.org/obo/MONDO_7770299>	"hyperbilirubinaemia, SLCO1B3-related, sheep"	"Any liver disorder, occurring in sheep, in which the cause of the disease is a variation in the SLCO1B3 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770300>	"mummified fetus, pig"		""	
<http://purl.obolibrary.org/obo/MONDO_7770302>	"hip dysplasia, roe deer"	"Hip dysplasia that occurs in roe deer."	""	
<http://purl.obolibrary.org/obo/MONDO_7770303>	"cerebellar ataxia, RALGAPA1-related, dog"	"Any cerebellar ataxia, occurring in dog, in which the cause of the disease is a variation in the RALGAPA1 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770304>	"amelia, horse"		""	
<http://purl.obolibrary.org/obo/MONDO_7770305>	"adactyly, pig"		""	
<http://purl.obolibrary.org/obo/MONDO_7770306>	"brachygnathia, pig"		""	
<http://purl.obolibrary.org/obo/MONDO_7770307>	"brachygnathia, WNT10B-related, cattle"	"Any musculoskeletal system disorder, occurring in cattle, in which the cause of the disease is a variation in the WNT10B gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770308>	"infertility, golden hamster"		""	
<http://purl.obolibrary.org/obo/MONDO_7770310>	"crest, mallard"		""	
<http://purl.obolibrary.org/obo/MONDO_7770311>	"leg defects, zebu cattle"		""	
<http://purl.obolibrary.org/obo/MONDO_7770312>	"claw/hoof disorders, zebu cattle"		""	
<http://purl.obolibrary.org/obo/MONDO_7770313>	"severe combined immunodeficiency disease, IL2RG and, RAG1-related, crab-eating macaque"	"Any severe combined immunodeficiency disease, occurring in macaque, in which the cause of the disease is a variation in the  IL2RG and RAG1 genes."	""	
<http://purl.obolibrary.org/obo/MONDO_7770314>	"eye defects, black-footed ferret"		""	
<http://purl.obolibrary.org/obo/MONDO_7770316>	"epidermolytic hyperkeratosis, walrus"	"Epidermolytic hyperkeratosis that occurs in walrus."	""	
<http://purl.obolibrary.org/obo/MONDO_7770317>	"deficiency color vision, medaka"	"Deficiency color vision that occurs in medaka."	""	
<http://purl.obolibrary.org/obo/MONDO_7770319>	"lissencephaly, dog"		""	
<http://purl.obolibrary.org/obo/MONDO_7770320>	"lissencephaly, domestic cat"		""	
<http://purl.obolibrary.org/obo/MONDO_7770321>	"lissencephaly, cattle"		""	
<http://purl.obolibrary.org/obo/MONDO_7770322>	"lissencephaly, goat"		""	
<http://purl.obolibrary.org/obo/MONDO_7770323>	"hypercholesterolaemia, macaque"	"Hypercholesterolaemia that occurs in macaque."	""	
<http://purl.obolibrary.org/obo/MONDO_7770324>	"frontotemporal dementia, macaque"	"Frontotemporal dementia that occurs in macaque."	""	
<http://purl.obolibrary.org/obo/MONDO_7770325>	"T cell deficiency, chicken"	"T cell deficiency that occurs in chicken."	""	
<http://purl.obolibrary.org/obo/MONDO_7770326>	"cor triatriatum sinister, pig"	"Cor triatriatum sinister that occurs in pig."	""	
<http://purl.obolibrary.org/obo/MONDO_7770327>	"leg defects, sheep"		""	
<http://purl.obolibrary.org/obo/MONDO_7770328>	"persistent mullerian duct syndrome, AMHR2-related, dog"	"Any persistent Mullerian duct syndrome, occurring in dog, in which the cause of the disease is a variation in the AMHR2 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770329>	"sex chromosome difference of sexual development, domestic cat"	"Sex chromosome difference of sexual development that occurs in domestic cat."	""	
<http://purl.obolibrary.org/obo/MONDO_7770330>	"XY difference of sexual development, HSD17B3-related, dog"	"Any XY difference of sexual development, occurring in dog, in which the cause of the disease is a variation in the HSD17B3 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770331>	"difference of sexual development, chicken"	"Difference of sexual development that occurs in chicken."	""	
<http://purl.obolibrary.org/obo/MONDO_7770332>	"difference of sexual development, tongue sole"	"Difference of sexual development that occurs in tongue sole."	""	
<http://purl.obolibrary.org/obo/MONDO_7770333>	"XY sex reversal, medaka"	"XY sex reversal that occurs in medaka."	""	
<http://purl.obolibrary.org/obo/MONDO_7770334>	"XY sex reversal, pig"	"XY sex reversal that occurs in pig."	""	
<http://purl.obolibrary.org/obo/MONDO_7770335>	"XY sex reversal, sheep"	"XY sex reversal that occurs in sheep."	""	
<http://purl.obolibrary.org/obo/MONDO_7770336>	"sex chromosome difference of sexual development, wood lemming"	"Sex chromosome difference of sexual development that occurs in wood lemming."	""	
<http://purl.obolibrary.org/obo/MONDO_7770337>	"sex chromosome difference of sexual development, horse"	"Sex chromosome difference of sexual development that occurs in horse."	""	
<http://purl.obolibrary.org/obo/MONDO_7770338>	"sex chromosome difference of sexual development, cattle"	"Sex chromosome difference of sexual development that occurs in cattle."	""	
<http://purl.obolibrary.org/obo/MONDO_7770339>	"sex chromosome difference of sexual development, sheep"	"Sex chromosome difference of sexual development that occurs in sheep."	""	
<http://purl.obolibrary.org/obo/MONDO_7770340>	"difference of sexual development, mule"	"Difference of sexual development that occurs in mule."	""	
<http://purl.obolibrary.org/obo/MONDO_7770341>	"sex chromosome difference of sexual development, gray short-tailed opossum"	"Sex chromosome difference of sexual development that occurs in gray short-tailed opossum."	""	
<http://purl.obolibrary.org/obo/MONDO_7770342>	"sex chromosome difference of sexual development, alpaca"	"Sex chromosome difference of sexual development that occurs in alpaca."	""	
<http://purl.obolibrary.org/obo/MONDO_7770343>	"sex chromosome difference of sexual development, water buffalo"	"Sex chromosome difference of sexual development that occurs in water buffalo."	""	
<http://purl.obolibrary.org/obo/MONDO_7770344>	"sex chromosome difference of sexual development, pig"	"Sex chromosome difference of sexual development that occurs in pig."	""	
<http://purl.obolibrary.org/obo/MONDO_7770345>	"XX sex reversal, pig"	"XX sex reversal that occurs in pig."	""	
<http://purl.obolibrary.org/obo/MONDO_7770346>	"sex chromosome difference of sexual development, goat"	"Sex chromosome difference of sexual development that occurs in goat."	""	
<http://purl.obolibrary.org/obo/MONDO_7770347>	"XY difference of sexual development, cattle"	"XY difference of sexual development that occurs in cattle."	""	
<http://purl.obolibrary.org/obo/MONDO_7770348>	"sex chromosome difference of sexual development, dog"	"Sex chromosome difference of sexual development that occurs in dog."	""	
<http://purl.obolibrary.org/obo/MONDO_7770350>	"spastic ataxia, SACS-related, dog"	"Any nervous system disorder, occurring in dog, in which the cause of the disease is a variation in the SACS gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770351>	"congenital partial colonic agenesis, domestic cat"	"Congenital partial colonic agenesis that occurs in domestic cat."	""	
<http://purl.obolibrary.org/obo/MONDO_7770352>	"congenital partial colonic agenesis, dog"	"Congenital partial colonic agenesis that occurs in dog."	""	
<http://purl.obolibrary.org/obo/MONDO_7770353>	"congenital partial colonic agenesis, horse"	"Congenital partial colonic agenesis that occurs in horse."	""	
<http://purl.obolibrary.org/obo/MONDO_7770356>	"dens evaginatus, rhesus macaque"	"Dens evaginatus that occurs in rhesus macaque."	""	
<http://purl.obolibrary.org/obo/MONDO_7770357>	"spinal muscular atrophy, pig"	"Spinal muscular atrophy that occurs in pig."	""	
<http://purl.obolibrary.org/obo/MONDO_7770358>	"short tail sperm, zebu cattle"		""	
<http://purl.obolibrary.org/obo/MONDO_7770359>	"glycogen storage disease II, zebu cattle"		""	
<http://purl.obolibrary.org/obo/MONDO_7770362>	"lipid storage disease, superb bird-of-paradise"		""	
<http://purl.obolibrary.org/obo/MONDO_7770363>	"uveodermatological syndrome, dog"	"Uveodermatological syndrome that occurs in dog."	""	
<http://purl.obolibrary.org/obo/MONDO_7770364>	"male subfertility, AK9-related, cattle"	"Any reproductive system disorder, occurring in cattle, in which the cause of the disease is a variation in the AK9 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770365>	"equine odontoclastic tooth resorption and hypercementosis, horse"		""	
<http://purl.obolibrary.org/obo/MONDO_7770366>	"feline odontoclastic resorptive lesion, domestic cat"		""	
<http://purl.obolibrary.org/obo/MONDO_7770367>	"congenital adrenal hyperplasia, common carp"	"Adrenal hyperplasia, congenital that occurs in common carp."	""	
<http://purl.obolibrary.org/obo/MONDO_7770370>	"vena cava defect, domestic cat"		""	
<http://purl.obolibrary.org/obo/MONDO_7770371>	"vena cava defect, dog"		""	
<http://purl.obolibrary.org/obo/MONDO_7770372>	"dentinogenesis imperfecta, dog"	"Dentinogenesis imperfecta that occurs in dog."	""	
<http://purl.obolibrary.org/obo/MONDO_7770373>	"junctionalis epidermolysis bullosa, COL17A1-related, domestic cat"	"Any junctionalis epidermolysis bullosa, occurring in domestic cat, in which the cause of the disease is a variation in the COL17A1 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770374>	"muscular hypertrophy (double muscling), yellow catfish"		""	
<http://purl.obolibrary.org/obo/MONDO_7770375>	"dilated cardiomyopathy, LMNA-related, dog"	"Any dilated cardiomyopathy, occurring in dog, in which the cause of the disease is a variation in the LMNA gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770376>	"dental abnormalities, fox"		""	
<http://purl.obolibrary.org/obo/MONDO_7770377>	"fetal death, pig"		""	
<http://purl.obolibrary.org/obo/MONDO_7770379>	"XX difference of sexual development, guppy"	"XX difference of sexual development that occurs in guppy."	""	
<http://purl.obolibrary.org/obo/MONDO_7770380>	"polyendocrine syndrome, dog"	"Polyendocrine syndrome that occurs in dog."	""	
<http://purl.obolibrary.org/obo/MONDO_7770381>	"cervicothoracic vertebral malformation, horse"		""	
<http://purl.obolibrary.org/obo/MONDO_7770382>	"leukocyte adhesion deficiency, type I, zebu cattle"		""	
